ay,bleu_ay,bleu_iy,iy,x,z,dblue
अपने घर में दिग्गज दक्षिण अफ्रीकी टीम के दिग्गज दक्षिण अफ्रीकी टीम को टी20 प्रारूप से पहले सभी टीमों ने चेतावनी दी है ।,0.28489318277723963,0.12181088227447578,ग्रुप - टीम के अपने घर में युवा दक्षिण अफ्रीकी टीम को अपने घर में शीर्ष पर रोकने पर होगी ।,"Having defeated the legendary South African team in his home, he has warned all the teams before the T20 format.",उसने दिग्गज दक्षिण अफ्रीकी टीम को उसी के घर में मात देकर टी20 के महाआयोजन से पहले सभी टीमों को चेतावनी दे डाली है।,0.16308230050276384
न्यूलैंड्स के मैदान पर सीरीज के तीसरे और आखिरी मैच में ऑस्ट्रेलिया ने एक बड़ा लक्ष्य की बदौलत दक्षिण अफ्रीका को 6 विकेट से हराकर सीरीज पर 2 - 1 से कब्जा जमा लिया ।,0.1530768626926837,0.38790377217874017,सेडोन मैदान पर हुए सीरीज के तीसरे व अंतिम मैच में ऑस्ट्रेलिया ने दक्षिण अफ्रीका को पारी और 2 विकेट से हराकर सीरीज में 2 - 1 से सीरीज पर कब्जा जमा लिया ।,"In the third and final match of the series at the Newlands ground, Australia defeated South Africa by 6 wickets in the absence of a big goal and took 2-1 on the series.",न्यूलैंड्स मैदान पर हुए सीरीज के तीसरे व अंतिम मुकाबले में ऑस्ट्रेलिया ने दक्षिण अफ्रीका को एक बड़े लक्ष्य के बावजूद 6 विकेट से करारी शिकस्त देकर सीरीज पर 2-1 से कब्जा जमा लिया।,-0.23482690948605647
दक्षिण अफ्रीका ने इस मैच में पहले बल्लेबाजी करते हुए हाशिम अमला की 97 रनों की पारी के दम पर निर्धारित 20 ओवर में 4 विकेट के नुकसान पर 178 रन बनाए ।,0.7039053420781118,0.5862240945815194,इस मैच में पहले बल्लेबाजी करते हुए दक्षिण अफ्रीका ने हाशिम अमला की 97 रनों की तूफानी पारी के दम पर निर्धारित 20 ओवर में 4 विकेट के नुकसान पर 368 रनों का स्कोर खड़ा किया ।,"South Africa, batting first in this match, scored a massive 178 for loss of 4 wickets in the 20th over on the brilliant innings of Hashim Amla's 97-run knock.",दक्षिण अफ्रीका ने इस मैच में पहले बल्लेबाजी करते हुए हाशिम अमला की 97 रनों की शानदार पारी के दम पर 20 ओवर में 4 विकेट के नुकसान पर 178 रनों का विशाल स्कोर खड़ा किया।,0.11768124749659248
"सीरीज 1 - 1 से बराबर थी , इसलिए ऑस्ट्रेलिया को जीत के लिए 179 रनों की जरूरत थी और सीरीज ।",0.3127670021100431,0.02662987965321075,सीरीज का तीसरा और इस मैच 1 - 1 से बराबर हो गया है ।,"The series was 1-1, so Australia needed 179 runs to win matches and series.",सीरीज 1-1 से बराबरी पर थी इसलिए ऑस्ट्रेलिया को मैच और सीरीज जीतने के लिए 179 रनों की जरूरत थी।,0.28613712245683237
लक्ष्य का पीछा करते हुए उस्मान ख्वाजा ( 33 ) और शेन वॉटसन ( 42 ) ने अपनी टीम को अच्छी शुरुआत दिलाई और अपनी टीम के लिए 8 . 2 ओवर में पहले विकेट के लिए 76 रन की साझेदारी की ।,0.35427171284436915,0.23627505261482745,लक्ष्य का पीछा करते हुए उस्मान ख्वाजा ( 33 ) और शेन वॉटसन ( 42 ) ने पहले विकेट के लिए 76 रन की साझेदारी करके अपनी टीम को 8 . 2 ओवर में ही 8 विकेट से जीत दिला दी ।,"Chasing the target, Usman Khawaja (33) and Shane Watson (42) gave good start to their team and took a 76-run partnership for the first wicket for their team by 8.2 overs.",लक्ष्य का पीछा करते हुए उस्मान ख्वाजा (33) और शेन वॉटसन (42) ने अपनी टीम को अच्छी शुरुआत दी और 8.2 ओवर तक अपनी टीम के लिए पहले विकेट पर 76 रनों की साझेदारी को अंजाम दिया।,0.1179966602295417
इसके बाद इमरान ताहिर ने तीन गेंदों में ही इन दोनों बल्लेबाजों के बीच इन दो बल्लेबाजों को पवेलियन का रास्ता दिखा दिया लेकिन डेविड वॉर्नर और कप्तान स्टीव स्मिथ के बीच तीसरे विकेट के लिए 79 रनों की साझेदारी को अंजाम दिया ।,0.48916098994645807,0.442014938992266,इसके बाद इमरान ताहिर ने आते ही तीन बल्लेबाजों को पवेलियन का रास्ता दिखाया लेकिन डेविड वॉर्नर और कप्तान स्टीव स्मिथ ने तीसरे विकेट के लिए 79 रन की अटूट साझेदारी करके ऑस्ट्रेलिया को जीत के मंच पर पहुंचाया ।,Imran Tahir then showed the path of pavilion to these two batsmen in the gap between three balls but after David Warner and skipper Steve Smith added 79 runs for the third wicket to bring the win closer to Australia.,इसके बाद इमरान ताहिर ने तीन गेंदों के अंतर में इन दोनों बल्लेबाजों को पवेलियन का रास्ता दिखा दिया लेकिन इसके बाद डेविड वॉर्नर और कप्तान स्टीव स्मिथ ने तीसरे विकेट के लिए 79 रन जोड़कर जीत को ऑस्ट्रेलिया के करीब लाकर खड़ा कर दिया।,0.047146050954192054
स्मिथ ने 44 जबकि वार्नर ने 33 रन बनाए ।,0.17584661674110286,0.6535068282481995,स्मिथ ने 44 रन बनाए जबकि वॉर्नर ने 33 रन बनाए ।,Smith scored 44 while Warner scored 33 runs.,स्मिथ ने 44 रन बनाए जबकि वॉर्नर ने 33 रनों की पारी खेली।,-0.47766021150709664
इसके बाद वॉर्नर रन आउट हुए जबकि स्मिथ कीपर की गेंद पर कीपर के हाथों कैच आउट हुए ।,0.3720301800504296,0.39696685122270786,इसके बाद वॉर्नर रन आउट हो गए जबकि कुछ देर तक स्मिथ का कैच कीपर स्मिथ ने लपका ।,After that Warner was run out while Smith was caught by the keeper.,इसके बाद वॉर्नर रन आउट हो गए जबकि स्मिथ कीपर के हाथों कैच हो गए।,-0.02493667117227827
"हालांकि , इससे ज्यादा फर्क नहीं पड़ा क्योंकि मैक्सवेल ने अपना जलवा दिखाया और 10 गेंदों पर नाबाद 19 रनों की धुआंधार पारी खेली जबकि मिचेल मार्श ने अपनी टीम को जीत दिलाई ।",0.5606263026831915,0.3233283908937366,"हालांकि , यह पारी भी ज्यादा खास नहीं चला और 10 गेंदों पर नाबाद 19 रनों की धुआंधार पारी खेलकर मिचेल मार्श ने 10 गेंद शेष रहते अपनी टीम को जीत दिला दी ।","However, it did not make much difference because Maxwell showed his feat and played an unbeaten 19-run knock on 10 balls while Mitchell Marsh guided his team to victory.",हालांकि इनके जाने से ज्यादा फर्क नहीं पड़ा क्योंकि फिर मैक्सवेल ने अपना जलवा दिखाया और 10 गेंदों पर नाबाद 19 रनों की धुआंधार पारी खेल डाली जबकि मिचेल मार्श ने विजयी चौका लगाते हुए अपनी टीम को जीत दिलाई।,0.23729791178945486
खेल जगत की अन्य खबरों के लिए यहां क्लिक,0.8948393168143697,0.8948393168143697,खेल जगत की अन्य खबरों के लिए यहां क्लिक,Click here for other sports news reports,खेल जगत की अन्य खबरों के लिए यहां क्लिक करें,0.0
"नॉर्थ साउंड , जेएनएन ।",0.10682175159905853,0.10682175159905853,"नॉर्थ साउंड , जेएनएन ।","North Sound, JnN","नॉर्थ साउंड, जेएनएन।",0.0
भारत और वेस्टइंडीज के बीच पांच मैचों की सीरीज का तीसरा मैच एंटीगुआ में खेला गया ।,0.5997820163128024,0.510071485381458,भारत और वेस्टइंडीज के बीच पांच मैचों की सीरीज का तीसरा मुकाबला खेला गया ।,The third match of the five-match series between India and West Indies was played in Antigua.,भारत और वेस्टइंडीज के बीच पांच वनडे मैचों की सीरीज का तीसरा मैच एंटीगा में खेला गया।,0.0897105309313444
वेस्टइंडीज ने टॉस जीतकर पहले गेंदबाजी करने का फैसला किया ।,0.47417975608185275,0.47417975608185275,वेस्टइंडीज ने टॉस जीतकर पहले गेंदबाजी करने का फैसला किया ।,West Indies decided to bowl first in this match by winning the toss.,इस मैच में वेस्टइंडीज ने टॉस जीतकर पहले गेंदबाजी का फैसला किया।,0.0
पहले बल्लेबाजी करते हुए भारतीय टीम ने निर्धारित 50 ओवर में 4 विकेट के नुकसान पर 251 रन बनाए ।,0.8914703664390793,0.6859238121837058,पहले बल्लेबाजी करते हुए भारतीय टीम ने 50 ओवर में 4 विकेट के नुकसान पर 399 रन बनाए ।,"Earlier, while batting, the Indian team scored 251 runs at the loss of 4 wickets in 50 overs.",पहले बल्लेबाजी करते हुए भारतीय टीम ने निर्धारित 50 ओवर में 4 विकेट के नुकसान पर 251 रन बनाए।,0.2055465542553735
वेस्टइंडीज को जीत के लिए 252 रन बनाने थे लेकिन पूरी टीम 38 . 1 ओवर में 158 रन पर ऑल आउट हो गई ।,0.7178970818142898,0.7178970818142898,वेस्टइंडीज को जीत के लिए 252 रन बनाने थे लेकिन पूरी टीम 38 . 1 ओवर में 158 रन पर ऑल आउट हो गई ।,The West Indies had to score 252 runs to win but the whole team was all out for 158 runs in 38.1 overs.,वेस्टइंडीज को जीत के लिए 252 रन बनाने थे लेकिन पूरी टीम 38.1 ओवर में 158 रन पर ऑल आउट हो गई।,0.0
भारत ने मैच को 93 रनों से जीतकर पांच मैचों की सीरीज में 2 - 0 की बढ़त बना ली है ।,0.19857943409196785,0.30402998755191396,भारत ने मैच को 93 रन से जीता और पांच मैचों की सीरीज में 2 - 0 की बढ़त बना ली ।,India won the match by 93 runs and made a 2-0 lead in the five-match series.,भारत ने इस मुकाबले को 93 रन से जीत लिया और पांच वनडे मैचों की सीरीज में 2-0 की बढ़त बना ली।,-0.10545055345994611
धौनी को उनकी शानदार पारी के लिए ' मैन ऑफ द मैच ' चुना गया ।,0.42311785416105785,0.23693055763743093,धौनी को उनकी शानदार शतकीय पारी के लिए ' मैन ऑफ द मैच ' चुना गया ।,Dhoni was selected as the man of the match for his glorious innings.,धौनी को उनकी शानदार पारी के लिए 'मैन ऑफ द मैच' चुना गया।,0.18618729652362692
कुलदीप और अश्विन की घातक,0.8187307530779819,0.8187307530779819,कुलदीप और अश्विन की घातक,Kuldeep and Ashwin's deadly bowling,कुलदीप और अश्विन की घातक गेंदबाजी,0.0
दूसरी पारी में भारतीय तेज गेंदबाज उमेश यादव ने वेस्टइंडीज को पहला झटका दिया ।,0.8507331335123524,0.8507331335123524,दूसरी पारी में भारतीय तेज गेंदबाज उमेश यादव ने वेस्टइंडीज को पहला झटका दिया ।,"In the second innings, Indian fast bowler Umesh Yadav made the first blow to the West Indies.",दूसरी पारी में भारतीय तेज गेंदबाज उमेश यादव ने वेस्टइंडीज को पहला झटका दिया।,0.0
उमेश ने पहली पारी में दो रन से पिछड़ी गेंदबाज को क्लीन बोल्ड कर दिया ।,0.12451643194233869,0.06344849033136085,उमेश ने पहली पारी में 2000 रन देकर दो विकेट लिए ।,Umesh scored the clean-bowler for Umener by two runs in the first innings.,ओपनर बल्लेबाज इवान लेविस को उमेश ने 2 रन पर क्लीन बोल्ड कर दिया।,0.06106794161097784
काइली होप को काइली होप ने 19 रन पर धौनी के हाथों कैच करवाया ।,0.28444648348567786,0.37873176281916504,काइली होप को कार्तिक ने 19 रन पर कार्तिक के हाथों कैच आउट करवाया ।,Kylie Hope was caught by Karthik Pandya at the Khedar Jadhav for 19 runs.,काइली होप को हार्दिक पांड्या ने 19 रन पर केदार जाधव के हाथों कैच आउट करवाया।,-0.09428527933348718
रोस्टन चेज को कुलदीप यादव ने दो रन पर क्लीन बोल्ड कर दिया ।,0.43748114312246444,0.8385766789076257,कुलदीप यादव ने रोस्टन चेज को 2 रन पर क्लीन बोल्ड कर दिया ।,Kuldeep Yadav made Rohan Chase clean-ball on two runs.,कुलदीप यादव ने रोस्टन चेज को 2 रन पर क्लीन बोल्ड कर दिया।,-0.4010955357851612
साई होप हार्दिक पांड्या का शिकार बने ।,0.6803749333171202,0.6803749333171202,साई होप हार्दिक पांड्या का शिकार बने ।,Sai Hope became a victim of Hardik Pandya.,साई होप हार्दिक पांड्या का शिकार बने।,0.0
उन्होंने 24 रन बनाए ।,0.3976353643835253,0.3976353643835253,उन्होंने 24 रन बनाए ।,They scored 24 runs.,उन्होंने 24 रन बनाए।,0.0
कप्तान जेसन होल्डर को अश्विन की गेंद पर धौनी ने स्टंप आउट किया ।,0.8385766789076257,0.8385766789076257,कप्तान जेसन होल्डर को अश्विन की गेंद पर धौनी ने स्टंप आउट किया ।,Captain Jason Holder was stumped by Dhoni on Ashwin's bowling.,कप्तान जेसन होल्डर को अश्विन की गेंद पर धौनी ने स्टंप आउट किया।,0.0
होल्डर ने 6 रन बनाए ।,0.5081327481546147,0.5081327481546147,होल्डर ने 6 रन बनाए ।,Holder scored 6 runs.,होल्डर ने 6 रन बनाए।,0.0
कुलदीप ने पावेल को अपना दूसरा शिकार बनाया ।,0.23356898886410005,0.23356898886410005,कुलदीप ने डेवकिक को अपना दूसरा शिकार बनाया ।,Kuldeep made Roemman Powell his second victim.,रोवमन पॉवेल को कुलदीप ने अपना दूसरा शिकार बनाया।,0.0
उन्होंने पावेल को 30 रन पर कैच आउट करवा दिया ।,0.5900468726392808,0.537284965911771,उन्होंने पावेल को 30 रन पर कैच आउट करवाया ।,He got Powell caught by 30 runs.,उन्होंने पॉवेल को 30 रन पर कैच आउट करवा दिया।,0.0527619067275098
जेसन को उमेश यादव ने 6 रन पर उमेश यादव के हाथों कैच आउट करवाया ।,0.5968774175634496,0.49588554702454435,को अश्विन ने 6 रन पर अश्विन के हाथों कैच आउट करवाया ।,Ashley was caught by Ashwin at Umesh Yadav for 6 runs.,एश्ले नर्श को अश्विन ने 6 रन पर उमेश यादव के हाथों कैच आउट करवाया।,0.10099187053890524
जेसन मोहम्मद को कुलदीप यादव ने 40 रन पर एलबीडब्ल्यू आउट किया ।,0.8242367502646054,0.8242367502646054,जेसन मोहम्मद को कुलदीप यादव ने 40 रन पर एलबीडब्ल्यू आउट किया ।,Jason Mohammed got LBW out for 40 runs by Kuldeep Yadav.,जेसन मोहम्मद को कुलदीप यादव ने 40 रन पर एलबीडब्ल्यू आउट किया।,0.0
अश्विन को कमिंस ने एक रन पर एलबीडब्ल्यू आउट किया ।,0.2031899141006721,0.15727800941615355,अश्विन ने उन्हें एक रन पर कमिंस के हाथों कैच आउट करवाया ।,Ashwin scored LBW on one run by Cummins.,कमिंस को एक रन पर अश्विन ने एलबीडब्ल्यू आउट किया।,0.045911904684518556
केदार जाधव को केदार जाधव ने एक रन पर क्लीन बोल्ड कर दिया ।,0.6767781116542884,0.5210833656670609,उन्हें बोल्ट ने एक रन पर क्लीन बोल्ड कर दिया ।,Williams made Kedar Jadhav clean-bowled on one run.,विलियम्स को केदार जाधव ने एक रन पर क्लीन बोल्ड कर दिया।,0.15569474598722743
भारत की तरफ से कुलदीप यादव और आर .,0.7259795291154771,0.7259795291154771,भारत की तरफ से कुलदीप यादव और आर .,India's Kuldeep Yadav and R.,भारत की तरफ से कुलदीप यादव और आर.,0.0
"अश्विन ने तीन , तीन हार्दिक पांड्या ने दो जबकि उमेश यादव और केदार जाधव ने एक - एक विकेट लिए ।",0.5511532346688224,0.29071536848410967,"अश्विन ने तीन , तीन जबकि उमेश यादव और केदार जाधव ने दो - दो जबकि उमेश यादव और केदार जाधव ने एक - एक विकेट लिए ।","Ashwin got three, three hearty Pandya two while Umesh Yadav and Kedar Jadhav took one wicket each.","अश्विन ने तीन, तीन हार्दिक पांड्या ने दो जबकि उमेश यादव और केदार जाधव ने एक-एक विकेट लिए।",0.2604378661847127
रहाणे और धौनी को मिली,0.3976353643835253,0.7788007830714049,रहाणे और धौनी का,Rahane and Dhoni get half centuries,रहाणे और धौनी का अर्धशतक,-0.38116541868787956
भारतीय ओपनर शिखर धवन इस मैच में नहीं खेल पाए ।,0.4000998551310186,0.4905378138718247,भारतीय सलामी बल्लेबाज शिखर धवन इस मैच में नहीं खेल सके ।,Indian opener Shikhar Dhawan could not play in this match.,भारतीय टीम के ओनपर बल्लेबाज शिखर धवन इस मैच में नहीं चल सके।,-0.09043795874080612
बेहतरीन फॉर्म में चल रहे धवन सिर्फ दो रन बनाकर कैच आउट हो गए ।,0.570282226440554,0.34823528327578535,बेहतरीन फॉर्म में चल रहे धवन को महज 2 रन पर होस्टिंग्स ने कैच आउट करवाया ।,"Dhawan, who runs in the best form, has just hit two runs and catches out.",बेहतरीन फॉर्म में चल रहे धवन सिर्फ 2 रन बनाकर कैच आउट हुए।,0.2220469431647687
धवन को चेज की गेंद पर धवन ने कैच किया ।,0.269855346668251,0.24384183193426084,धवन को बेहारदीन ने कमिंस की गेंद पर कैच आउट किया ।,Dhawan caught by Roston Chase caught on the Cummins ball.,कमिंस की गेंद पर धवन का कैच रोस्टन चेज ने पकड़ा।,0.026013514733990162
कप्तान विराट इस मैच में कुछ खास करने में भी नाकाम रहे ।,0.3438931217657843,0.8070557274927982,कप्तान विराट भी इस मैच में कुछ खास नहीं कर पाए ।,Captain Virat also failed to do anything special in this match.,कप्तान विराट भी इस मैच में कुछ खास नहीं कर पाए।,-0.4631626057270139
विराट कोहली 11 रन बनाकर जेसन होल्डर की गेंद पर सदीरा को कैच दे बैठे ।,0.26340673701997797,0.41682189465797687,विराट कोहली 11 रन बनाकर जेसन होल्डर की गेंद पर डी कॉक के हाथों कैच आउट हो गए ।,Virat Kohli was caught by Kyle Hope at 11 runs off Jason Holder's delivery.,विराट 11 रन पर जेसन होल्डर की गेंद पर काइली होप के हाथों कैच आउट हो गए।,-0.1534151576379989
युवराज सिंह ने एक बार फिर से टीम को निराश किया और 39 रन बनाकर देवेंद्र बिशू की गेंद पर एलबीडब्ल्यू आउट हुए ।,0.910879922930628,0.39880891978177824,युवराज सिंह एक बार फिर से टीम की कमान संभाल रहे और 39 रन बनाकर अकीला वसीम की गेंद पर एलबीडब्ल्यू आउट हो गए ।,Yuvraj Singh once again disappointed the team and made 39 runs and Devendra Bishoo's delivery was out lbw.,युवराज सिंह ने एक बार फिर से टीम को निराश किया और 39 रन बनाकर देवेंद्र बिशू की गेंद पर एलबीडब्ल्यू आउट हुए।,0.5120710031488498
रहाणे ने बेहतरीन पारी खेली और 72 रन बनाकर कमिंस की गेंद पर कैच आउट हुए ।,0.7172835948406505,0.7172835948406505,रहाणे ने बेहतरीन पारी खेली और 72 रन बनाकर कमिंस की गेंद पर कैच आउट हुए ।,Rahane hit a fine innings and was caught by Cummins at 72 runs.,रहाणे ने अच्छी पारी खेली और 72 रन बनाकर कमिंस की गेंद पर कैच आउट हुए।,0.0
रहाणे का कैच देवेंद्र बिशू ने पकड़ा ।,0.6803749333171202,0.06274655310994741,रहाणे को रवींद्र चहल ने कैच आउट किया ।,Rahane caught by Devendra Bishoo caught,रहाणे का कैच देवेंद्र बिशू ने पकड़ा।,0.6176283802071728
धौनी ने धुआंधार पारी खेली और 78 रन बनाकर नाबाद रहे जबकि केदार जाधव ने 26 गेंदों पर 40 रन की नाबाद पारी खेली ।,0.8160524705752857,0.6651557976544797,धौनी ने बेहद साहसिक पारी खेली और 78 रन बनाकर नाबाद रहे जबकि केदार जाधव ने 26 गेंदों पर नाबाद 40 रन बनाए ।,"Dhoni played an overwhelming innings and remained unbeaten on 78, while Kedar Jadhav made an unbeaten 40 off 26 balls.",धौनी ने जबरदस्त पारी खेली और 78 रन बनाकर नाबाद रहे जबकि केदार जाधव ने 26 गेंदों पर 40 रन की नाबाद पारी खेली।,0.150896672920806
क्रिकेट की खबरों के लिए यहां क्लिक,0.8668778997501817,0.8668778997501817,क्रिकेट की खबरों के लिए यहां क्लिक,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,0.0
अन्य खेलों की खबरों के लिए यहां क्लिक,0.8824969025845955,0.8824969025845955,अन्य खेलों की खबरों के लिए यहां क्लिक,Click here for news of other sports,अन्य खेलों की खबरों के लिए यहां क्लिक करें,0.0
चेन्नई ।,0.0,0.0,चेन्नई ।,Chennai.,चेन्नई।,0.0
राजस्थान रॉयल्स और मेजबान किंग्स के बीच हुए आइपीएल - 8 के 47वें मुकाबले में चेन्नई ने टॉस जीतकर पहले बल्लेबाजी करने का फैसला किया और पहले बल्लेबाजी करते हुए 20 ओवर में 5 विकेट के नुकसान पर 157 रन बनाए ।,0.7299047390884579,0.7186209612545543,राजस्थान रॉयल्स और मेजबान चेन्नई सुपर किंग्स के बीच हुए ट्राई सीरीज के खिताब मैच में चेन्नई ने टॉस जीतकर पहले बल्लेबाजी करने का फैसला किया और पहले बल्लेबाजी करते हुए 20 ओवर में 5 विकेट के नुकसान पर 157 रन बनाए ।,"In the 47th league match of the ongoing IPL-8 between Rajasthan Royals and host Chennai Super Kings, Chennai decided to bat first before winning the toss and batting first, scored 157 runs in 5 overs in 20 overs.",राजस्थान रॉयल्स और मेजबान चेन्नई सुपरकिंग्स के बीच चल रहे आइपीएल-8 के 47वें लीग मुकाबले में चेन्नई ने टॉस जीतकर पहले बल्लेबाजी करने का फैसला किया और पहले बल्लेबाजी करते हुए 20 ओवर में 5 विकेट के नुकसान पर 157 रन बनाए हैं।,0.011283777833903552
सलामी बल्लेबाज ब्रैंडन मैकुलम ने 61 गेंदों में चेन्नई की तरफ से ताबड़तोड़ पारी खेलते हुए 81 रन बनाए ।,0.3751840463233443,0.27130567714631193,चेन्नई की तरफ से ओपनर ब्रेंडन मैकुलम ने धुआंधार पारी खेलते हुए 61 गेंदों पर 81 रन बनाए ।,Opener Brendon McCullum scored 81 runs in 61 balls with a smashing innings from Chennai.,चेन्नई की तरफ से ओपनर ब्रैंडन मैकुलम ने 61 गेंदों में 81 रनों की धुआंधार पारी खेली।,0.10387836917703236
जवाब में राजस्थान की टीम 20 ओवर में 9 विकेट के नुकसान पर 145 रन ही बना सकी और 12 रनों से मैच गंवा दिया ।,0.7561559858236034,0.7561559858236034,जवाब में राजस्थान की टीम 20 ओवर में 9 विकेट के नुकसान पर 171 रन ही बना सकी और 12 रन से मैच गंवा दिया ।,"In reply, Rajasthan's team could only 145 for 9 wickets in 20 overs and lost the match by 12 runs.",जवाब में उतरी राजस्थान की टीम 20 ओवर में 9 विकेट के नुकसान पर 145 रन ही बना सकी और 12 रन से मैच गंवा दिया।,0.0
- चेन्नई ने बनाए 157,0.8187307530779819,0.8187307530779819,- चेन्नई ने बनाए 157,- Chennai scored 157 runs,- चेन्नई ने बनाए 157 रनः,0.0
पहले बल्लेबाजी करने उतरी चेन्नई को पहला झटका लगा ओपनर ड्वेन स्मिथ ( 6 ) के रूप में ।,0.5072784644062104,0.3570583512587401,पहले बल्लेबाजी करने उतरी चेन्नई को ओपनर बल्लेबाज ड्वेन स्मिथ ( 6 ) के रूप में पहला झटका लगा ।,"Earlier, going to bat, Chennai felt the first blow as Opener Dwayne Smith (6).",पहले बल्लेबाजी करने उतरी चेन्नई को पहला झटका ओपनर ड्वेन स्मिथ (6) के रूप में लगा।,0.1502201131474703
अंकित शर्मा की गेंद पर जो रूट ने कैच करके पवेलियन की राह दिखा दी ।,0.06150343144231885,0.06917184228205472,अंकित शर्मा की गेंद पर स्मिथ ने कैच पकड़कर पवेलियन की राह दिखा दी ।,"Smith, who was caught by Faknor on the wicket of Ankit Sharma, showed the path of pavilion.",स्मिथ को अंकित शर्मा ने फॉकनर के हाथों कैच कराते हुए पवेलियन का रास्ता दिखाया।,-0.007668410839735872
इसके थोड़ी ही देर बाद क्रिस मॉरिस ने अगले ओवर में सुरेश रैना को फॉकनर के हाथों कैच कराया ।,0.3470043146019097,0.36880864175927286,इसके कुछ ही देर बाद क्रिस मॉरिस ने सुरेश रैना ( चौथी ) को फॉकनर के हाथों कैच कराया ।,"Shortly after, Chris Morris caught Suresh Raina at the hands of Faulkner in the next over (fourth over).",इसके कुछ ही देर बाद अगले ही ओवर (चौथा ओवर) में क्रिस मोरिस ने सुरेश रैना को फॉकनर के हाथों कैच करा दिया।,-0.021804327157363135
